Keys,Definitions,Topic,Name
a,final particle,34,34_particle_final_question_imperative
abĕn,"trousers, skirt",7,7_clothes_head_cloth_wrinkled
abĕn ao,clothes,7,7_clothes_head_cloth_wrinkled
"abêk, bongai abêk",person who laughs easily,51,51_quiet_laugh_quietly_whisper
abŏu,edible snail,-1,-1_to_be_of_and
abơk-abak,delirious ,-1,-1_to_be_of_and
achăng ,to set free,0,0_praise_greet_oh_me
achīt,to prepare wood for lighting fire,4,4_fire_light_boil_kettle
achỗ,"a bundle of wood, rice",6,6_rice_husked_cooked_grain
achỡ,"mock, scorn",-1,-1_to_be_of_and
achỡt,"to stop, prevent ",30,30_stop_prevent_keep_doing
achŭt,to prepare wood for lighting fire,4,4_fire_light_boil_kettle
adar,slowly,12,12_quickly_walking_go_walk
adra,drying platform over fire,4,4_fire_light_boil_kettle
adrang,chicken coop,11,11_bird_birds_rooster_nest
adrch,"seed rice, ancestral line",6,6_rice_husked_cooked_grain
adreng,"fry, cook without water",4,4_fire_light_boil_kettle
adrih,"alive (plant life), raw, unripe",9,9_fruit_leaf_plant_leaves
adrin,"to strive, persevere",16,16_desire_want_do_strive
adrin-adrai,to strive even though not expected to,16,16_desire_want_do_strive
adro,"widow, widower; cicada ",-1,-1_to_be_of_and
adroch,edible grass-like leaf,9,9_fruit_leaf_plant_leaves
adrok,the skin that a snake sheds,54,54_snake_rattan_poisonous_stripes
adrol,"before, in front of, first",-1,-1_to_be_of_and
adron,animal shed,36,36_dog_hunting_prey_wild
adrŏ,"to wiggle, squirm, shake ",57,57_shake_fear_shaking_from
adrŏ tơdrenh,many objects shaking,57,57_shake_fear_shaking_from
"adrŏk, kưt adrŏk",toad,-1,-1_to_be_of_and
adrỗ,alone,-1,-1_to_be_of_and
adrŏm,evening,3,3_time_day_night_if
adruh,"young unmarried lady, girl",-1,-1_to_be_of_and
adruh tơdăm,young people (girls and boys),14,14_children_law_mother_father
adrŭ,to shake in container,57,57_shake_fear_shaking_from
agăm,can not marry each other because related,-1,-1_to_be_of_and
agor,"shinny up tree, cross water on rope",19,19_tree_branch_branches_trees
agŏu,to meet together,43,43_together_meet_gather_discuss
aguăt,centipede ,-1,-1_to_be_of_and
ah (no initial glottal) ,final question particle,34,34_particle_final_question_imperative
ahrei,"now, these days",3,3_time_day_night_if
ai ,"lucky, fortunate, also meaning of strength, authority in some mystical sense",-1,-1_to_be_of_and
"ai, măk ai","fault, responsibility",-1,-1_to_be_of_and
măk ai kơ ih,it will be your fault,-1,-1_to_be_of_and
aĭ,to be equal,-1,-1_to_be_of_and
aī,vocative in final position,-1,-1_to_be_of_and
ajar,a forest plant which has edible flowers,9,9_fruit_leaf_plant_leaves
ak,crow,11,11_bird_birds_rooster_nest
"akâu, akŏu",body,-1,-1_to_be_of_and
akap,mouse trap,44,44_trap_animals_bait_pam
akar,skin ,17,17_dark_skin_white_black
akăn ,wife ,-1,-1_to_be_of_and
ake ,horn (animal),31,31_horse_pig_cow_goat
akhan,"to tell, to teach",10,10_think_speak_understand_tell
akhoi,prevent ,30,30_stop_prevent_keep_doing
ako ,neck,-1,-1_to_be_of_and
"akoh, akoh sut",honey-thick yellow stage,-1,-1_to_be_of_and
"akŏm, akŭm","to meet together, to gather things",43,43_together_meet_gather_discuss
akôih,"to shave, to scrape",-1,-1_to_be_of_and
akơn,pillow,0,0_praise_greet_oh_me
akơn,to lean on,-1,-1_to_be_of_and
akơng,leaf stem and main vein running up middle of leaf ,9,9_fruit_leaf_plant_leaves
ala ,"under, beneath ",-1,-1_to_be_of_and
alah,ouch ,0,0_praise_greet_oh_me
alah,lazy,-1,-1_to_be_of_and
amăn,spend only a little,-1,-1_to_be_of_and
ameng,to sit in one place working away,-1,-1_to_be_of_and
amǐl,"glass, mirror",8,8_water_river_sea_stream
amǐk,continually ,-1,-1_to_be_of_and
