,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,final particle,27,27_language___,"['language', '', '', '', '', '', '', '', '', '']","['final particle', 'final particle', 'final particle']",language -  -  -  -  -  -  -  -  - ,1.0,True
1,"trousers, skirt",14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,0.4046336666756398,False
2,clothes,14,14_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to put on clothes', 'clothes', 'clothes ']",human activity -  -  -  -  -  -  -  -  - ,1.0,True
3,person who laughs easily,32,32_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to keep quiet', 'to be quiet t', 'to be quiet']",human activity -  -  -  -  -  -  -  -  - ,0.44721883226831843,False
4,edible snail,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
5,delirious ,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
6,to set free,-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
7,to prepare wood for lighting fire,11,11_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to light a fire', 'to light a fire ', 'large fire']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
8,"a bundle of wood, rice",3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,0.29129860045299294,False
9,"mock, scorn",-1,-1_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to do two things at the same time ', 'to do two things at the same time', 'to make oneself like another person or like an animal, make something like something else']",human activity -  -  -  -  -  -  -  -  - ,0.0,False
10,"to stop, prevent ",22,22_language___,"['language', '', '', '', '', '', '', '', '', '']","['to keep on doing', 'to keep on doing', 'to stop, prevent ']",language -  -  -  -  -  -  -  -  - ,0.9662490036071022,True
11,to prepare wood for lighting fire,11,11_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to light a fire', 'to light a fire ', 'large fire']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
12,slowly,5,5_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['quickly, fast', 'to go quickly', 'fast, quickly ']",human activity -  -  -  -  -  -  -  -  - ,0.47949436181939054,False
13,drying platform over fire,11,11_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to light a fire', 'to light a fire ', 'large fire']",human activity -  -  -  -  -  -  -  -  - ,0.3615566453487829,False
14,chicken coop,87,87_animals activity___,"['animals activity', '', '', '', '', '', '', '', '', '']","['comb of rooster ', 'rooster', 'the crow of a rooster']",animals activity -  -  -  -  -  -  -  -  - ,1.0,False
15,"seed rice, ancestral line",3,3_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['cooked rice', 'cooked rice', 'type of rice']",human activity -  -  -  -  -  -  -  -  - ,0.1927096447387606,False
16,"fry, cook without water",103,103_water___,"['water', '', '', '', '', '', '', '', '', '']","['large kettle', 'metal pot, kettle, pan', 'pot, kettle ']",water -  -  -  -  -  -  -  -  - ,1.0,False
17,"alive (plant life), raw, unripe",45,45_plants___,"['plants', '', '', '', '', '', '', '', '', '']","['stem that makes new leaf, flower', 'leaf stem and main vein running up middle of leaf ', 'leaf ']",plants -  -  -  -  -  -  -  -  - ,0.6926940951231029,False
18,"to strive, persevere",9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,0.20401962857137007,False
19,to strive even though not expected to,9,9_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to want, desire ', 'to want, desire', 'to want, desire']",human activity -  -  -  -  -  -  -  -  - ,0.16678413989114643,False
20,"widow, widower; cicada ",65,65_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['husband and wife', 'young unmarried man', 'to separate man from wife or not let a couple marry']",human activity -  -  -  -  -  -  -  -  - ,1.0,False
