,Keys,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,a,final particle,21,21_particle_final_question_imperative,"['particle', 'final', 'question', 'imperative', 'emphasis', 'polite', 'huh', 'negative', 'marker', 'verb']","['final particle', 'final question particle ', 'final question particle']",particle - final - question - imperative - emphasis - polite - huh - negative - marker - verb,1.0,True
1,abĕn,"trousers, skirt",13,13_clothes_pretty_skirt_blanket,"['clothes', 'pretty', 'skirt', 'blanket', 'cloth', 'loincloth', 'clothing', 'trousers', 'waist', 'paper']","['to put on clothes', 'clothes', 'clothes ']",clothes - pretty - skirt - blanket - cloth - loincloth - clothing - trousers - waist - paper,0.4576200609503525,False
2,abĕn ao,clothes,13,13_clothes_pretty_skirt_blanket,"['clothes', 'pretty', 'skirt', 'blanket', 'cloth', 'loincloth', 'clothing', 'trousers', 'waist', 'paper']","['to put on clothes', 'clothes', 'clothes ']",clothes - pretty - skirt - blanket - cloth - loincloth - clothing - trousers - waist - paper,1.0,True
3,"abêk, bongai abêk",person who laughs easily,5,5_quiet_speak_talk_yell,"['quiet', 'speak', 'talk', 'yell', 'hear', 'talking', 'sing', 'laugh', 'low', 'mumble']","['to be quiet t', 'to be quiet', 'to speak, talk ']",quiet - speak - talk - yell - hear - talking - sing - laugh - low - mumble,0.44138506086369167,False
4,abŏu,edible snail,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
5,abơk-abak,delirious ,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
6,achăng ,to set free,-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
7,achīt,to prepare wood for lighting fire,7,7_fire_light_ashes_smoke,"['fire', 'light', 'ashes', 'smoke', 'bright', 'coals', 'shine', 'lighting', 'burn', 'charcoal']","['to put out light or fire ', 'to light a fire ', 'to light a fire']",fire - light - ashes - smoke - bright - coals - shine - lighting - burn - charcoal,0.5333491050026072,False
8,achỗ,"a bundle of wood, rice",6,6_rice_husked_cooked_grain,"['rice', 'husked', 'cooked', 'grain', 'grains', 'unhusked', 'pound', 'harvest', 'field', 'pounding']","['cooked rice', 'cooked rice', 'type of rice']",rice - husked - cooked - grain - grains - unhusked - pound - harvest - field - pounding,1.0,False
9,achỡ,"mock, scorn",-1,-1_to_do_in_be,"['to', 'do', 'in', 'be', 'up', 'something', 'have', 'that', 'head', 'used']","['to do something to get it over with', 'to prevent from going by word of mouth; to accuse someone else for something you did', 'to do two things at the same time']",to - do - in - be - up - something - have - that - head - used,0.0,False
10,achỡt,"to stop, prevent ",60,60_stop_keep_doing_it,"['stop', 'keep', 'doing', 'it', 'prevent', 'on', 'at', 'stopped', 'locative', 'continue']","['to keep on doing', 'to keep on doing ', 'to keep on doing']",stop - keep - doing - it - prevent - on - at - stopped - locative - continue,0.8486921873667578,False
11,achŭt,to prepare wood for lighting fire,7,7_fire_light_ashes_smoke,"['fire', 'light', 'ashes', 'smoke', 'bright', 'coals', 'shine', 'lighting', 'burn', 'charcoal']","['to put out light or fire ', 'to light a fire ', 'to light a fire']",fire - light - ashes - smoke - bright - coals - shine - lighting - burn - charcoal,0.4940197485776913,False
12,adar,slowly,33,33_quickly_hurry_fast_wait,"['quickly', 'hurry', 'fast', 'wait', 'fluently', 'slowly', 'ambush', 'busy', 'speak', 'come']","['to do quickly ', 'fast, quickly ', 'quickly, fast']",quickly - hurry - fast - wait - fluently - slowly - ambush - busy - speak - come,0.5952387546434764,False
13,adra,drying platform over fire,7,7_fire_light_ashes_smoke,"['fire', 'light', 'ashes', 'smoke', 'bright', 'coals', 'shine', 'lighting', 'burn', 'charcoal']","['to put out light or fire ', 'to light a fire ', 'to light a fire']",fire - light - ashes - smoke - bright - coals - shine - lighting - burn - charcoal,0.5985750915502807,False
14,adrang,chicken coop,1,1_bird_birds_wings_rooster,"['bird', 'birds', 'wings', 'rooster', 'duck', 'nest', 'hen', 'pigeon', 'chickens', 'describe']","['a type of bird', 'bird', 'bird']",bird - birds - wings - rooster - duck - nest - hen - pigeon - chickens - describe,0.43414133692313406,False
15,adrch,"seed rice, ancestral line",6,6_rice_husked_cooked_grain,"['rice', 'husked', 'cooked', 'grain', 'grains', 'unhusked', 'pound', 'harvest', 'field', 'pounding']","['cooked rice', 'cooked rice', 'type of rice']",rice - husked - cooked - grain - grains - unhusked - pound - harvest - field - pounding,1.0,False
